month	totalblocks	schoolblocks	ipblocks	accountblocks
2019-01	581	141	462	102
2019-02	504	120	403	85
2019-03	579	168	482	77
2019-04	675	197	560	87
2019-05	762	198	652	92
2019-06	486	98	388	74
2019-07	144	0	68	71
2019-08	174	1	96	73
2019-09	546	157	468	62
2019-10	780	212	677	74
2019-11	820	217	699	95
2019-12	477	93	381	70
2020-01	776	173	652	82
2020-02	532	115	435	73
2020-03	479	44	351	98
2020-04	319	1	201	103
2020-05	237	0	157	62
2020-06	180	3	111	50
2020-07	155	0	94	53
2020-08	148	0	108	31
2020-09	326	63	259	46
2020-10	438	39	330	44
2020-11	393	3	290	75
2020-12	339	23	232	89
2021-01	364	0	244	87
2021-02	260	0	158	73
2021-03	277	0	170	85
